項目,網址
詳全文：昨日《蘋果》被發現的錯與批評,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/headline/20171113/37844137/
1113/1240276/
詳全文：亞冠賽熱身賽　日本隊6比0勝西武,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240262/
詳全文：前藍鳥總經理安索波洛斯　轉任勇士總經理,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240231/
詳全文：【有片】要怎麼打？ 大聯盟最難纏5球路投手出爐　,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240050/
詳全文：龍獅虎象球星12月OB賽　2個月前就開始備戰,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240114/
詳全文：【全紀錄】NBA今日4場賽事　雷霆威少27分勝小牛,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240152/
詳全文：重砲黃載均回鍋韓職　4年破2億加盟KT巫師,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240128/
詳全文：【有片】塞爾提克讓一位爾文　12連勝照樣到手,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240018/
詳全文：【有片】台北海碩盃會內名單出爐　百大性感榜7美女球星抵台,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239994/
詳全文：雷霆安東尼背傷缺賽　喬治37分照轟小牛無礙,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240110/
詳全文：大谷翔平傷後首練打　繼續投打二刀流,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240088/
詳全文：大聯盟總經理會議登場　史坦頓、大谷成討論焦點,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240080/
詳全文：「大鬍子」哈登26分、15助攻　火箭再度超車勇士西區第1,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240069/
詳全文：爵士高貝爾右膝瘀傷缺戰4-6周　稱對手打髒球,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240047/
詳全文：OHL高球菁英賽　潘政琮並列55收場,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240036/
詳全文：F1巴西站決賽　法拉利維特爾奪本季第5冠,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240033/
詳全文：剪髮增球速？　狄格隆：可以多2哩,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240026/
詳全文：活塞鐵衛布萊德利建功　5連勝、本季第10勝到手,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240020/
詳全文：寶島夢想家門票中午開賣　和菲勞搶票捍衛主場,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239889/
詳全文：【NBA報馬仔】老鷹明打鵜鶘　快來看David哥的神推薦 ,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239836/
詳全文：寶島夢想家洋將確定　鵜鶘柯辛斯弟弟留用,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239903/
詳全文：台灣小將曾俊欣、梁恩碩　稱霸南韓一級青少年網賽,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239990/
詳全文：ATP年終總決賽開打　費德勒打下年度第50勝,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239987/
