項目,網址
詳全文：住家吸毒叫鱉湯　逮三女吃鱉了吧！,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240254/
詳全文： 台大名醫偷吃女醫　竟趁開刀空檔樓梯間親熱,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240249/
詳全文：爆「天氣女孩」遭欠薪　《周刊王》挨告誹謗,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240159/
詳全文：賊神似「火雲邪神」　警犯防宣導拍照一眼認出,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240253/
詳全文：小雞雞變「大鵰」　原來褲檔內藏玄機,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240204/
詳全文：民防隊員建功　婦人保住12萬元現金,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240194/
詳全文：社區球場打籃球　遭狂男持棒打破頭,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240224/
詳全文：失智翁離家3天　誤闖花蓮站遭火車撞死,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240058/
詳全文：少女洗霸王頭落跑！結帳金額讓網友驚呆了,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240256/
詳全文：不滿軍人反年改方案　「八百壯士」遊行抗議,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240072/
詳全文：大貨車國道爆胎釀火燒車　濃煙一公里外可見,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240073/
詳全文：男取毒遇警躲超商　藏貨架突兀被識破,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240232/
詳全文：【性侵13少年】淫老大臉書充暖男　「我是人不是畜生」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240242/
詳全文：民間團體備佳餚慰勞　打火弟兄暖胃更暖心,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240230/
詳全文：糊塗男鑰匙掉水溝　智警製釣桿耐心撈起,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240225/
詳全文：離家走失一夜走20公里　流落街頭街受凍警協助,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240178/
詳全文：​工地打工摔斷手　換跑道改當詐欺車手  ,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240220/
詳全文：7旬婦離家墜山溝　警細心協尋平安歸來,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240212/
詳全文：妻誤飲摻安眠藥的比菲多　夫趁機嘿咻判刑3年,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240213/
詳全文：假觀光真賣淫　2泰籍女遭法辦收容,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240193/
詳全文：【五貼片】2大3小騎機車5貼載　警：太危險將開罰,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240143/
詳全文：假考察真賭博　桃議員邱佳亮詐領補助費,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240081/
