項目,網址
詳全文：GLAY橫濱冷清開唱僅7人 隔25年吸23萬粉雪恥,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/entertainment/20171113/37843771/
詳全文：宋仲基超暖祕誓曝光 網友讚喬妹嫁對人,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/entertainment/20171113/37843776/
� 台中獨家登場,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/supplement/20171113/37843593/
1113/37843937/
詳全文：高科技感應器 分析投球動作,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/sports/20171113/37843943/
詳全文：拼站穩大聯盟 殷仔：土虱別緊張,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/sports/20171113/37843949/
詳全文：酒後毆打歌手 貝基特被捕道歉,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/sports/20171113/37843955/
