項目,網址
詳全文：鄭運鵬提案修《地方制度法》　鄉鎮市長改官派,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240090/
詳全文：稱讚中國在APEC釋善意　宋楚瑜：有大哥的樣子,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240217/
詳全文：故鄉「西庄里」將被消滅　傳扁致電賴清德,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240199/
詳全文：吳敦義、朱立倫落海先救誰　周錫瑋秒回,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240251/
詳全文：慶富案是政府鬧劇？　工程會：絕無放水,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240238/
詳全文：【有片】李永得用客語報告　藍委批聽不懂要求講中文,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240151/
詳全文：反對修《勞基法》鬆綁7休1　藍委批：大走回頭路,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240106/
詳全文：【不斷更新】八百壯士宣布今日活動結束　保存實力明再上凱道抗議,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239947/
詳全文：朱立倫施政成果　周錫瑋5個字形容,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240223/
詳全文：【道歉片】曾嗆對徐榛蔚很有意見　26天後李永得公開致歉,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240052/
詳全文：疑何子雨求救訊號！民航機收到、軍方收不到　妻急問：怎麼辦,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240189/
詳全文：客語認證報名人數減少　李永得：只是短暫現象,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240180/
詳全文：談APEC成績　宋楚瑜：盡心讓世界了解台灣可提供發展範例,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240186/
詳全文：救國團青年中心無法可管　賀陳旦：兩周內檢討,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240168/
詳全文：不滿林聰賢逕行向違規農舍課稅　藍委要求監院彈劾,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240129/
詳全文：客委會主委不能講客語！陳為廷怒了：回到戒嚴？,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240150/
詳全文：接見APEC代表團　蔡英文： 對話與交流是各國共同期待,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240134/
詳全文：【有片】​八百壯士抗議年金改革　警方出動霹靂小組待命  ,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240133/
詳全文：一例一休修法　民調：66.6%民眾贊成,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240108/
詳全文：批一銀幫慶富作弊　黃國昌：膽大妄為、肆無忌憚,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240111/
詳全文：與柯文哲競逐台北市長？　陳菊：我有自己的安排,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240094/
詳全文：賴揆今聽取都更政策　「釘子戶」將設調處機制,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239918/
詳全文：【台北耳語】解鈴還需繫鈴人,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239844/
詳全文：【歷史上的今天】蔡英文眼眶泛淚談勞工：民進黨心裡最軟那塊,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239793/
詳全文：十一月十三日各報頭條搶先報,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240002/
